GeographyKey,GeographyBusinessKey,City,State,Country,Region,Market
3756,"US|West|United States|Washington|Bellevue","Bellevue","Washington","United States","West","US"
3757,"US|West|United States|Washington|Bellingham","Bellingham","Washington","United States","West","US"
3758,"US|West|United States|Washington|Covington","Covington","Washington","United States","West","US"
3759,"US|West|United States|Washington|Des Moines","Des Moines","Washington","United States","West","US"
3760,"US|West|United States|Washington|Edmonds","Edmonds","Washington","United States","West","US"
3761,"US|West|United States|Washington|Everett","Everett","Washington","United States","West","US"
3762,"US|West|United States|Washington|Kent","Kent","Washington","United States","West","US"
3763,"US|West|United States|Washington|Longview","Longview","Washington","United States","West","US"
3764,"US|West|United States|Washington|Marysville","Marysville","Washington","United States","West","US"
3765,"US|West|United States|Washington|Olympia","Olympia","Washington","United States","West","US"
3766,"US|West|United States|Washington|Pasco","Pasco","Washington","United States","West","US"
3767,"US|West|United States|Washington|Redmond","Redmond","Washington","United States","West","US"
3768,"US|West|United States|Washington|Renton","Renton","Washington","United States","West","US"
3769,"US|West|United States|Washington|Seattle","Seattle","Washington","United States","West","US"
3770,"US|West|United States|Washington|Spokane","Spokane","Washington","United States","West","US"
3771,"US|West|United States|Washington|Vancouver","Vancouver","Washington","United States","West","US"
3772,"US|West|United States|Wyoming|Cheyenne","Cheyenne","Wyoming","United States","West","US"
3355,"US|East|United States|Connecticut|Bristol","Bristol","Connecticut","United States","East","US"
3356,"US|East|United States|Connecticut|Danbury","Danbury","Connecticut","United States","East","US"
3357,"US|East|United States|Connecticut|Fairfield","Fairfield","Connecticut","United States","East","US"
3358,"US|East|United States|Connecticut|Manchester","Manchester","Connecticut","United States","East","US"
3359,"US|East|United States|Connecticut|Meriden","Meriden","Connecticut","United States","East","US"
3360,"US|East|United States|Connecticut|Middletown","Middletown","Connecticut","United States","East","US"
3361,"US|East|United States|Connecticut|Milford","Milford","Connecticut","United States","East","US"
3362,"US|East|United States|Connecticut|Norwich","Norwich","Connecticut","United States","East","US"
3363,"US|East|United States|Connecticut|Shelton","Shelton","Connecticut","United States","East","US"
3364,"US|East|United States|Connecticut|Waterbury","Waterbury","Connecticut","United States","East","US"
3365,"US|East|United States|Delaware|Dover","Dover","Delaware","United States","East","US"
3366,"US|East|United States|Delaware|Newark","Newark","Delaware","United States","East","US"
3367,"US|East|United States|Delaware|Wilmington","Wilmington","Delaware","United States","East","US"
3368,"US|East|United States|District of Columbia|Washington","Washington","District of Columbia","United States","East","US"
3369,"US|East|United States|Maine|Bangor","Bangor","Maine","United States","East","US"
3370,"US|East|United States|Maine|Lewiston","Lewiston","Maine","United States","East","US"
3371,"US|East|United States|Maryland|Baltimore","Baltimore","Maryland","United States","East","US"
3372,"US|East|United States|Maryland|Clinton","Clinton","Maryland","United States","East","US"
3373,"US|East|United States|Maryland|Columbia","Columbia","Maryland","United States","East","US"
3374,"US|East|United States|Maryland|Gaithersburg","Gaithersburg","Maryland","United States","East","US"
3375,"US|East|United States|Maryland|Hagerstown","Hagerstown","Maryland","United States","East","US"
3376,"US|East|United States|Maryland|Laurel","Laurel","Maryland","United States","East","US"
3377,"US|East|United States|Maryland|Rockville","Rockville","Maryland","United States","East","US"
3378,"US|East|United States|Massachusetts|Andover","Andover","Massachusetts","United States","East","US"
3379,"US|East|United States|Massachusetts|Beverly","Beverly","Massachusetts","United States","East","US"
3380,"US|East|United States|Massachusetts|Cambridge","Cambridge","Massachusetts","United States","East","US"
3381,"US|East|United States|Massachusetts|Everett","Everett","Massachusetts","United States","East","US"
3382,"US|East|United States|Massachusetts|Franklin","Franklin","Massachusetts","United States","East","US"
3383,"US|East|United States|Massachusetts|Holyoke","Holyoke","Massachusetts","United States","East","US"
3384,"US|East|United States|Massachusetts|Lawrence","Lawrence","Massachusetts","United States","East","US"
3385,"US|East|United States|Massachusetts|Leominster","Leominster","Massachusetts","United States","East","US"
3386,"US|East|United States|Massachusetts|Lowell","Lowell","Massachusetts","United States","East","US"
3387,"US|East|United States|Massachusetts|Malden","Malden","Massachusetts","United States","East","US"
3388,"US|East|United States|Massachusetts|Marlborough","Marlborough","Massachusetts","United States","East","US"
3389,"US|East|United States|Massachusetts|New Bedford","New Bedford","Massachusetts","United States","East","US"
3390,"US|East|United States|Massachusetts|Quincy","Quincy","Massachusetts","United States","East","US"
3391,"US|East|United States|Massachusetts|Revere","Revere","Massachusetts","United States","East","US"
3392,"US|East|United States|New Hampshire|Concord","Concord","New Hampshire","United States","East","US"
3393,"US|East|United States|New Hampshire|Dover","Dover","New Hampshire","United States","East","US"
3394,"US|East|United States|New Hampshire|Nashua","Nashua","New Hampshire","United States","East","US"
3395,"US|East|United States|New Jersey|Atlantic City","Atlantic City","New Jersey","United States","East","US"
3396,"US|East|United States|New Jersey|Bayonne","Bayonne","New Jersey","United States","East","US"
3397,"US|East|United States|New Jersey|Belleville","Belleville","New Jersey","United States","East","US"
3398,"US|East|United States|New Jersey|Bridgeton","Bridgeton","New Jersey","United States","East","US"
3399,"US|East|United States|New Jersey|Clifton","Clifton","New Jersey","United States","East","US"
3400,"US|East|United States|New Jersey|East Orange","East Orange","New Jersey","United States","East","US"
3401,"US|East|United States|New Jersey|Hackensack","Hackensack","New Jersey","United States","East","US"
3402,"US|East|United States|New Jersey|Lakewood","Lakewood","New Jersey","United States","East","US"
3403,"US|East|United States|New Jersey|Linden","Linden","New Jersey","United States","East","US"
3404,"US|East|United States|New Jersey|Morristown","Morristown","New Jersey","United States","East","US"
3405,"US|East|United States|New Jersey|New Brunswick","New Brunswick","New Jersey","United States","East","US"
3406,"US|East|United States|New Jersey|Orange","Orange","New Jersey","United States","East","US"
3407,"US|East|United States|New Jersey|Passaic","Passaic","New Jersey","United States","East","US"
3408,"US|East|United States|New Jersey|Paterson","Paterson","New Jersey","United States","East","US"
3409,"US|East|United States|New Jersey|Perth Amboy","Perth Amboy","New Jersey","United States","East","US"
3410,"US|East|United States|New Jersey|Plainfield","Plainfield","New Jersey","United States","East","US"
3411,"US|East|United States|New Jersey|Vineland","Vineland","New Jersey","United States","East","US"
3412,"US|East|United States|New Jersey|Westfield","Westfield","New Jersey","United States","East","US"
3413,"US|East|United States|New York|Auburn","Auburn","New York","United States","East","US"
3414,"US|East|United States|New York|Buffalo","Buffalo","New York","United States","East","US"
3415,"US|East|United States|New York|Freeport","Freeport","New York","United States","East","US"
3416,"US|East|United States|New York|Hempstead","Hempstead","New York","United States","East","US"
3417,"US|East|United States|New York|Jamestown","Jamestown","New York","United States","East","US"
3418,"US|East|United States|New York|Lindenhurst","Lindenhurst","New York","United States","East","US"
3419,"US|East|United States|New York|Long Beach","Long Beach","New York","United States","East","US"
3420,"US|East|United States|New York|Mount Vernon","Mount Vernon","New York","United States","East","US"
3421,"US|East|United States|New York|New Rochelle","New Rochelle","New York","United States","East","US"
3422,"US|East|United States|New York|New York City","New York City","New York","United States","East","US"
3423,"US|East|United States|New York|Niagara Falls","Niagara Falls","New York","United States","East","US"
3424,"US|East|United States|New York|Oceanside","Oceanside","New York","United States","East","US"
3425,"US|East|United States|New York|Rochester","Rochester","New York","United States","East","US"
3426,"US|East|United States|New York|Rome","Rome","New York","United States","East","US"
3427,"US|East|United States|New York|Troy","Troy","New York","United States","East","US"
3428,"US|East|United States|New York|Utica","Utica","New York","United States","East","US"
3429,"US|East|United States|New York|Watertown","Watertown","New York","United States","East","US"
3430,"US|East|United States|New York|Yonkers","Yonkers","New York","United States","East","US"
3431,"US|East|United States|Ohio|Akron","Akron","Ohio","United States","East","US"
3432,"US|East|United States|Ohio|Bowling Green","Bowling Green","Ohio","United States","East","US"
3433,"US|East|United States|Ohio|Cincinnati","Cincinnati","Ohio","United States","East","US"
3434,"US|East|United States|Ohio|Cleveland","Cleveland","Ohio","United States","East","US"
3435,"US|East|United States|Ohio|Columbus","Columbus","Ohio","United States","East","US"
3436,"US|East|United States|Ohio|Cuyahoga Falls","Cuyahoga Falls","Ohio","United States","East","US"
3437,"US|East|United States|Ohio|Dublin","Dublin","Ohio","United States","East","US"
3438,"US|East|United States|Ohio|Elyria","Elyria","Ohio","United States","East","US"
3439,"US|East|United States|Ohio|Fairfield","Fairfield","Ohio","United States","East","US"
3440,"US|East|United States|Ohio|Grove City","Grove City","Ohio","United States","East","US"
3441,"US|East|United States|Ohio|Hamilton","Hamilton","Ohio","United States","East","US"
3442,"US|East|United States|Ohio|Kent","Kent","Ohio","United States","East","US"
3443,"US|East|United States|Ohio|Lakewood","Lakewood","Ohio","United States","East","US"
3444,"US|East|United States|Ohio|Lancaster","Lancaster","Ohio","United States","East","US"
3445,"US|East|United States|Ohio|Lorain","Lorain","Ohio","United States","East","US"
3446,"US|East|United States|Ohio|Marion","Marion","Ohio","United States","East","US"
3447,"US|East|United States|Ohio|Mason","Mason","Ohio","United States","East","US"
3448,"US|East|United States|Ohio|Medina","Medina","Ohio","United States","East","US"
3449,"US|East|United States|Ohio|Mentor","Mentor","Ohio","United States","East","US"
3450,"US|East|United States|Ohio|Newark","Newark","Ohio","United States","East","US"
3451,"US|East|United States|Ohio|Parma","Parma","Ohio","United States","East","US"
3452,"US|East|United States|Ohio|Springfield","Springfield","Ohio","United States","East","US"
3453,"US|East|United States|Ohio|Toledo","Toledo","Ohio","United States","East","US"
3454,"US|East|United States|Ohio|Troy","Troy","Ohio","United States","East","US"
3455,"US|East|United States|Pennsylvania|Allentown","Allentown","Pennsylvania","United States","East","US"
3456,"US|East|United States|Pennsylvania|Altoona","Altoona","Pennsylvania","United States","East","US"
3457,"US|East|United States|Pennsylvania|Bethlehem","Bethlehem","Pennsylvania","United States","East","US"
3458,"US|East|United States|Pennsylvania|Chester","Chester","Pennsylvania","United States","East","US"
3459,"US|East|United States|Pennsylvania|Lancaster","Lancaster","Pennsylvania","United States","East","US"
3460,"US|East|United States|Pennsylvania|Philadelphia","Philadelphia","Pennsylvania","United States","East","US"
3461,"US|East|United States|Pennsylvania|Reading","Reading","Pennsylvania","United States","East","US"
3462,"US|East|United States|Pennsylvania|York","York","Pennsylvania","United States","East","US"
3463,"US|East|United States|Rhode Island|Cranston","Cranston","Rhode Island","United States","East","US"
3464,"US|East|United States|Rhode Island|Providence","Providence","Rhode Island","United States","East","US"
3465,"US|East|United States|Rhode Island|Warwick","Warwick","Rhode Island","United States","East","US"
3466,"US|East|United States|Rhode Island|Woonsocket","Woonsocket","Rhode Island","United States","East","US"
3467,"US|East|United States|Vermont|Burlington","Burlington","Vermont","United States","East","US"
3468,"US|East|United States|West Virginia|Wheeling","Wheeling","West Virginia","United States","East","US"
3469,"US|South|United States|Alabama|Auburn","Auburn","Alabama","United States","South","US"
3470,"US|South|United States|Alabama|Decatur","Decatur","Alabama","United States","South","US"
3471,"US|South|United States|Alabama|Florence","Florence","Alabama","United States","South","US"
3472,"US|South|United States|Alabama|Hoover","Hoover","Alabama","United States","South","US"
3473,"US|South|United States|Alabama|Huntsville","Huntsville","Alabama","United States","South","US"
3474,"US|South|United States|Alabama|Mobile","Mobile","Alabama","United States","South","US"
3475,"US|South|United States|Alabama|Montgomery","Montgomery","Alabama","United States","South","US"
3476,"US|South|United States|Alabama|Tuscaloosa","Tuscaloosa","Alabama","United States","South","US"
3477,"US|South|United States|Arkansas|Conway","Conway","Arkansas","United States","South","US"
3478,"US|South|United States|Arkansas|Fayetteville","Fayetteville","Arkansas","United States","South","US"
3479,"US|South|United States|Arkansas|Hot Springs","Hot Springs","Arkansas","United States","South","US"
3480,"US|South|United States|Arkansas|Jonesboro","Jonesboro","Arkansas","United States","South","US"
3481,"US|South|United States|Arkansas|Little Rock","Little Rock","Arkansas","United States","South","US"
3482,"US|South|United States|Arkansas|Pine Bluff","Pine Bluff","Arkansas","United States","South","US"
3483,"US|South|United States|Arkansas|Rogers","Rogers","Arkansas","United States","South","US"
3484,"US|South|United States|Arkansas|Springdale","Springdale","Arkansas","United States","South","US"
3485,"US|South|United States|Arkansas|Texarkana","Texarkana","Arkansas","United States","South","US"
3486,"US|South|United States|Florida|Apopka","Apopka","Florida","United States","South","US"
3487,"US|South|United States|Florida|Boca Raton","Boca Raton","Florida","United States","South","US"
3488,"US|South|United States|Florida|Boynton Beach","Boynton Beach","Florida","United States","South","US"
3489,"US|South|United States|Florida|Coral Gables","Coral Gables","Florida","United States","South","US"
3490,"US|South|United States|Florida|Coral Springs","Coral Springs","Florida","United States","South","US"
3491,"US|South|United States|Florida|Daytona Beach","Daytona Beach","Florida","United States","South","US"
3492,"US|South|United States|Florida|Delray Beach","Delray Beach","Florida","United States","South","US"
3493,"US|South|United States|Florida|Deltona","Deltona","Florida","United States","South","US"
3494,"US|South|United States|Florida|Fort Lauderdale","Fort Lauderdale","Florida","United States","South","US"
3495,"US|South|United States|Florida|Hialeah","Hialeah","Florida","United States","South","US"
3496,"US|South|United States|Florida|Hollywood","Hollywood","Florida","United States","South","US"
3497,"US|South|United States|Florida|Homestead","Homestead","Florida","United States","South","US"
3498,"US|South|United States|Florida|Jacksonville","Jacksonville","Florida","United States","South","US"
3499,"US|South|United States|Florida|Jupiter","Jupiter","Florida","United States","South","US"
3500,"US|South|United States|Florida|Kissimmee","Kissimmee","Florida","United States","South","US"
3501,"US|South|United States|Florida|Lakeland","Lakeland","Florida","United States","South","US"
3502,"US|South|United States|Florida|Margate","Margate","Florida","United States","South","US"
3503,"US|South|United States|Florida|Melbourne","Melbourne","Florida","United States","South","US"
3504,"US|South|United States|Florida|Miami","Miami","Florida","United States","South","US"
3505,"US|South|United States|Florida|Miramar","Miramar","Florida","United States","South","US"
3506,"US|South|United States|Florida|North Miami","North Miami","Florida","United States","South","US"
3507,"US|South|United States|Florida|Orlando","Orlando","Florida","United States","South","US"
3508,"US|South|United States|Florida|Ormond Beach","Ormond Beach","Florida","United States","South","US"
3509,"US|South|United States|Florida|Palm Coast","Palm Coast","Florida","United States","South","US"
3510,"US|South|United States|Florida|Pembroke Pines","Pembroke Pines","Florida","United States","South","US"
3511,"US|South|United States|Florida|Pensacola","Pensacola","Florida","United States","South","US"
3512,"US|South|United States|Florida|Plantation","Plantation","Florida","United States","South","US"
3513,"US|South|United States|Florida|Pompano Beach","Pompano Beach","Florida","United States","South","US"
3514,"US|South|United States|Florida|Port Orange","Port Orange","Florida","United States","South","US"
3515,"US|South|United States|Florida|Port Saint Lucie","Port Saint Lucie","Florida","United States","South","US"
3516,"US|South|United States|Florida|Saint Petersburg","Saint Petersburg","Florida","United States","South","US"
3517,"US|South|United States|Florida|Sanford","Sanford","Florida","United States","South","US"
3518,"US|South|United States|Florida|Tallahassee","Tallahassee","Florida","United States","South","US"
3519,"US|South|United States|Florida|Tamarac","Tamarac","Florida","United States","South","US"
3520,"US|South|United States|Florida|Tampa","Tampa","Florida","United States","South","US"
3521,"US|South|United States|Florida|West Palm Beach","West Palm Beach","Florida","United States","South","US"
3522,"US|South|United States|Georgia|Athens","Athens","Georgia","United States","South","US"
3523,"US|South|United States|Georgia|Atlanta","Atlanta","Georgia","United States","South","US"
3524,"US|South|United States|Georgia|Columbus","Columbus","Georgia","United States","South","US"
3525,"US|South|United States|Georgia|East Point","East Point","Georgia","United States","South","US"
3526,"US|South|United States|Georgia|Macon","Macon","Georgia","United States","South","US"
3527,"US|South|United States|Georgia|Marietta","Marietta","Georgia","United States","South","US"
3528,"US|South|United States|Georgia|Roswell","Roswell","Georgia","United States","South","US"
3529,"US|South|United States|Georgia|Sandy Springs","Sandy Springs","Georgia","United States","South","US"
3530,"US|South|United States|Georgia|Smyrna","Smyrna","Georgia","United States","South","US"
3531,"US|South|United States|Georgia|Warner Robins","Warner Robins","Georgia","United States","South","US"
3532,"US|South|United States|Georgia|Woodstock","Woodstock","Georgia","United States","South","US"
3533,"US|South|United States|Kentucky|Bowling Green","Bowling Green","Kentucky","United States","South","US"
3534,"US|South|United States|Kentucky|Florence","Florence","Kentucky","United States","South","US"
3535,"US|South|United States|Kentucky|Georgetown","Georgetown","Kentucky","United States","South","US"
3536,"US|South|United States|Kentucky|Henderson","Henderson","Kentucky","United States","South","US"
3537,"US|South|United States|Kentucky|Louisville","Louisville","Kentucky","United States","South","US"
3538,"US|South|United States|Kentucky|Murray","Murray","Kentucky","United States","South","US"
3539,"US|South|United States|Kentucky|Owensboro","Owensboro","Kentucky","United States","South","US"
3540,"US|South|United States|Kentucky|Richmond","Richmond","Kentucky","United States","South","US"
